sr_no,sector,ministry,project_code,project_name,orig_cost,rev_cost,expenditure,phys_progress,planned_duration_days,project_age_years,elapsed_fraction,progress_gap,cost_utilization,cost_per_progress,sanction_year,sanction_month,size_decile_in_sector,sector_loo_cost_overrun_rate,sector_loo_time_overrun_rate,ministry_loo_cost_overrun_rate,ministry_loo_time_overrun_rate,cost_overrun_pct,cost_overrun_flag,time_overrun_months,time_overrun_flag
1261,Roads & Highways,Ministry of Road Transport & Highways,617898,New construction of Major Bridge with Approaches from Km 0.000 to 1.200 Madhopur -Badabanta section of NH-20 under NHO in Annual Plan 2022-23 in the State of Odisha,200,,0.32,0,1668.0,3.1238877481177276,0.684052757793765,68.4052757793765,0.0016,0.32,2023.0,3.0,0.0,0.3609154929577465,0.7329192546583851,0.3609154929577465,0.7329192546583851,,,0.0,0.0
1262,Roads & Highways,Ministry of Road Transport & Highways,619120,Nidagatta-Mysore Pkg II,2920,4113.89,3715.84,99,1561.0,8.16974674880219,1.911595131326073,92.15951313260732,1.2725479452054795,37.1584,2018.0,2.0,9.0,0.35978835978835977,0.7318840579710145,0.35978835978835977,0.7318840579710145,40.88664383561645,1.0,51.77398160315374,1.0
1263,Roads & Highways,Ministry of Road Transport & Highways,618688,Outer Ring Road of Jabalpur Town from Amjhar Road including Airport Connectivity to barela Pkg-V,795,539.9,105.34,32,1078.0,1.5030800821355237,0.5092764378478665,18.927643784786646,0.13250314465408805,3.1921212121212124,2024.0,10.0,5.0,0.36155202821869487,0.7329192546583851,0.36155202821869487,0.7329192546583851,-32.08805031446541,0.0,0.0,0.0
1264,Roads & Highways,Ministry of Road Transport & Highways,618687,Outer Ring Road of Jabalpur Town from Barela to Manegaon Pkg-1,652,651.88,500.97,90,916.0,3.6605065023956196,1.4596069868995634,55.96069868995633,0.7683588957055215,5.505164835164836,2022.0,9.0,4.0,0.36155202821869487,0.7318840579710145,0.36155202821869487,0.7318840579710145,-0.01840490797546082,0.0,17.641261498028907,1.0
1265,Roads & Highways,Ministry of Road Transport & Highways,618686,Outer Ring Road of Jabalpur Town from Kushner to Amjhar Road including Airport Connectivity Pkg-IV,613,509.82,363.91,80,1287.0,3.676933607118412,1.0435120435120435,24.35120435120436,0.5936541598694943,4.492716049382716,2022.0,8.0,4.0,0.36155202821869487,0.7318840579710145,0.36155202821869487,0.7318840579710145,-16.831973898858077,0.0,8.771353482260183,1.0
1266,Roads & Highways,Ministry of Road Transport & Highways,618684,Outer Ring Road of Jabalpur Town from Manegaon to NH-45 Pkg-2,917,786.47,520.38,79,1216.0,3.477070499657769,1.044407894736842,25.440789473684205,0.5674809160305343,6.50475,2022.0,11.0,5.0,0.36155202821869487,0.7318840579710145,0.36155202821869487,0.7318840579710145,-14.234460196292254,0.0,12.779237844940866,1.0
1267,Roads & Highways,Ministry of Road Transport & Highways,618685,Outer Ring Road of Jabalpur Town from NH45 to Kushner Pkg-3,911,773.23,552.62,80,1261.0,3.6084873374401094,1.0452022204599525,24.520222045995254,0.6066081229418222,6.82246913580247,2022.0,9.0,5.0,0.36155202821869487,0.7318840579710145,0.36155202821869487,0.7318840579710145,-15.122941822173432,0.0,9.921156373193167,1.0
1268,Roads & Highways,Ministry of Road Transport & Highways,618172,Paithan - Shirur section 2LPS Km 0.0 to 55.00,342,,208.25,82,823.0,9.163586584531142,4.066828675577157,324.6828675577157,0.6089181286549707,2.5090361445783134,2017.0,3.0,2.0,0.3609154929577465,0.7318840579710145,0.3609154929577465,0.7318840579710145,,,88.92904073587384,1.0
1269,Roads & Highways,Ministry of Road Transport & Highways,618177,Pal Phata Phulambri - Khultabad 2LPS,227,,5.78,95,642.0,8.093086926762492,4.604361370716511,365.43613707165105,0.025462555066079296,0.060208333333333336,2018.0,3.0,1.0,0.3609154929577465,0.7318840579710145,0.3609154929577465,0.7318840579710145,,,72.07621550591327,1.0
1270,Roads & Highways,Ministry of Road Transport & Highways,618851,Pandoh bypass 221.305 to Takoli 242.000 of NH-21 in the state of Himachal Pradesh,3420,4465.94,2883.58,96,1563.0,8.878850102669405,2.074856046065259,111.48560460652592,0.8431520467836258,29.72762886597938,2017.0,6.0,9.0,0.35978835978835977,0.7318840579710145,0.35978835978835977,0.7318840579710145,30.5830409356725,1.0,66.1957950065703,1.0
1271,Roads & Highways,Ministry of Road Transport & Highways,618606,Paravoor-Kottankulangara,3274,3200.24,2858.55,71,1159.0,4.353182751540041,1.3718723037100948,66.18723037100949,0.8731062919975565,39.702083333333334,2021.0,12.0,9.0,0.36155202821869487,0.7318840579710145,0.36155202821869487,0.7318840579710145,-2.252901649358589,0.0,25.164257555847566,1.0
1272,Roads & Highways,Ministry of Road Transport & Highways,618094,Pen to Khopoli 2LPS,369,,333.1,86,641.0,8.112251882272416,4.622464898595944,376.2464898595944,0.902710027100271,3.8287356321839083,2018.0,3.0,2.0,0.3609154929577465,0.7318840579710145,0.3609154929577465,0.7318840579710145,,,72.33902759526939,1.0
1273,Roads & Highways,Ministry of Road Transport & Highways,618571,Permanent rectification of 3 nos. of black spots in project Highway NH-27 of U.P border - Dewapur - Kotwa section from Km.360.915 to km.440.000 Total Length of 79.085 Km of NH-27& Permanent rectification of 5 nos. of black spots of project Highway NH-27 of Kotwa - Mehsi - Muzaffarpur Section from km.440.000 to km.520.000 Total length 80.00Km,227,321.23,233.7,83,1339.0,4.049281314168378,1.104555638536221,27.455563853622095,1.0295154185022026,2.782142857142857,2022.0,4.0,1.0,0.35978835978835977,0.7318840579710145,0.35978835978835977,0.7318840579710145,41.51101321585904,1.0,12.64783180026281,1.0
1274,Roads & Highways,Ministry of Road Transport & Highways,618846,Poondiyankuppam Km.67.000 to Sattanathapuram Km.123.800,2566,2319.35,1210.2,100,2150.0,8.164271047227926,1.3869767441860466,38.69767441860466,0.47162899454403745,11.982178217821783,2018.0,3.0,9.0,0.36155202821869487,0.7318840579710145,0.36155202821869487,0.7318840579710145,-9.612236944660953,0.0,32.35873850197109,1.0
1275,Roads & Highways,Ministry of Road Transport & Highways,618074,Pre construction activity of NH 122B from km 0 to 72.348 and Improvement to two lane with paved shoulders of NH 122B from km 29.730 to km 72.348 in state of Bihar under EPC mode,624,,154.25,96,1640.0,4.219028062970568,0.9396341463414634,-2.036585365853668,0.24719551282051283,1.5902061855670102,2022.0,2.0,4.0,0.3609154929577465,0.7329192546583851,0.3609154929577465,0.7329192546583851,,,0.7227332457293035,0.0
1276,Roads & Highways,Ministry of Road Transport & Highways,618126,"Pre-Construction activities from Km 134.000 to Km 190.233 of NH-333A and Construction of 4 no. of Bypasses at Katoria, Lakhpura, Banka & Panjwara total length-14.359 Km to two lane with paved shoulders standard in State of Bihar.",479,,67.37,59,1489.0,3.468856947296372,0.8509066487575554,26.090664875755536,0.1406471816283925,1.1228333333333333,2022.0,11.0,3.0,0.3609154929577465,0.7318840579710145,0.3609154929577465,0.7318840579710145,,,3.712220762155059,1.0
1277,Roads & Highways,Ministry of Road Transport & Highways,618845,Puducherry Km.29.000 to Poondiyankuppam Km.67.000,1588,1415.9,460.45,99,2084.0,8.164271047227926,1.4309021113243763,44.09021113243762,0.289955919395466,4.6045,2018.0,3.0,8.0,0.36155202821869487,0.7318840579710145,0.36155202821869487,0.7318840579710145,-10.83753148614609,0.0,34.526938239159,1.0
1278,Roads & Highways,Ministry of Road Transport & Highways,618180,Pune raigarh District Border To Mangaon Ch 69000 to 103775 NH-753F,223,,0.0,89,655.0,8.125941136208077,4.531297709923664,364.12977099236645,0.0,0.0,2018.0,3.0,0.0,0.3609154929577465,0.7318840579710145,0.3609154929577465,0.7318840579710145,,,78.97503285151117,1.0
